City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Pandan,PH,14.0453,124.1694,84.97,73,100,8.03,overcast clouds
79,La Ronge,CA,55.1001,-105.2842,59.49,41,74,6.6,broken clouds
80,Hasaki,JP,35.7333,140.8333,79.18,75,95,8.7,overcast clouds
81,Eirunepe,BR,-6.6603,-69.8736,76.93,76,100,1.83,overcast clouds
82,Inirida,CO,3.8653,-67.9239,72.73,97,25,1.66,scattered clouds
83,Rock Sound,BS,24.9,-76.2,81.48,83,1,15.86,clear sky
84,Salinopolis,BR,-0.6136,-47.3561,77.56,85,7,9.73,clear sky
85,Birao,CF,10.2849,22.7882,78.46,55,86,4.85,overcast clouds
86,Nome,US,64.5011,-165.4064,68.16,81,90,6.91,overcast clouds
87,Monrovia,LR,6.3005,-10.7969,76.33,85,94,6.13,light rain
88,Catamarca,AR,-28.4696,-65.7852,56.59,80,0,1.01,clear sky
89,Petropavlovka,RU,50.6114,105.3196,65.44,80,85,5.95,overcast clouds
90,Dikson,RU,73.5069,80.5464,32.94,85,14,10.18,few clouds
91,Tilichiki,RU,60.4667,166.1,60.51,48,100,4.32,overcast clouds
92,Brae,GB,60.3964,-1.353,49.91,80,4,8.28,clear sky
93,Provideniya,RU,64.3833,-173.3,44.71,81,90,8.95,moderate rain
94,Micheweni,TZ,-4.9667,39.8333,74.8,84,18,13.38,light rain
95,Tuktoyaktuk,CA,69.4541,-133.0374,34.84,90,100,13.06,overcast clouds
96,Kruisfontein,ZA,-34.0033,24.7314,73.89,26,5,20.09,clear sky
97,Pyinmana,MM,19.7333,96.2167,77.76,88,100,6.98,overcast clouds
98,Cayenne,GF,4.9333,-52.3333,81.09,84,0,1.01,clear sky
99,Nanortalik,GL,60.1432,-45.2371,41.36,95,100,5.7,overcast clouds
100,Mahon,ES,39.8885,4.2658,70.36,94,75,5.75,broken clouds
101,Waitara,NZ,-38.925,174.25,54.72,65,0,15.52,clear sky
102,Rodrigues Alves,BR,-7.738,-72.6509,73.62,83,41,2.19,scattered clouds
103,Kaitangata,NZ,-46.2817,169.8464,49.93,54,34,9.6,scattered clouds
104,Kyrylivka,UA,46.3759,35.3675,71.44,90,0,8.28,clear sky
105,Oktyabrskoye,RU,43.0645,44.7417,62.74,94,0,4.47,clear sky
106,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,71.26,43,94,2.62,overcast clouds
107,Dingle,PH,10.9995,122.6711,80.49,80,100,3.42,moderate rain
108,Aswan,EG,24.0934,32.907,87.01,18,0,3.62,clear sky
109,Eydhafushi,MV,5.1033,73.0708,82.29,76,7,15.03,clear sky
110,Naliya,IN,23.2667,68.8333,83.23,70,9,13.27,clear sky
111,Shostka,UA,51.863,33.4698,62.69,84,8,8.21,clear sky
112,Castro,BR,-24.7911,-50.0119,52.48,97,100,0.58,light rain
113,Lagoa,PT,39.05,-27.9833,63.84,72,15,9.13,few clouds
114,Kahului,US,20.8947,-156.47,86.74,74,61,5.01,broken clouds
115,Dudinka,RU,69.4058,86.1778,42.98,68,100,17.22,overcast clouds
116,Yenagoa,NG,4.9247,6.2642,73.17,98,100,2.93,light rain
117,Luderitz,NA,-26.6481,15.1594,62.2,61,0,7.02,clear sky
118,Pitimbu,BR,-7.4706,-34.8086,73.99,76,11,8.37,few clouds
119,Torbay,CA,47.6666,-52.7314,60.76,89,99,8.34,overcast clouds
120,Cherskiy,RU,68.75,161.3,71.06,30,72,7.54,broken clouds
121,Rauma,FI,61.1272,21.5113,64.44,92,49,5.64,scattered clouds
122,Mount Gambier,AU,-37.8333,140.7667,51.69,68,100,10.36,overcast clouds
123,Vila,PT,42.0304,-8.1588,49.69,89,76,2.8,broken clouds
